Trial,Spacing,Congruent,RT,Accuracy
34,unspaced,neutral,1.84815073013306,1
35,spaced,neutral,0.949395656585693,1
36,unspaced,congruent,1.76509189605713,1
37,spaced,neutral,0.964149951934814,1
38,spaced,incongruent,2.74282598495483,1
39,spaced,congruent,1.97410655021667,1
40,unspaced,congruent,0.863149166107178,1
41,spaced,neutral,0.712362766265869,1
42,spaced,incongruent,0.610474109649658,1
43,unspaced,neutral,0.648714780807495,1
44,unspaced,incongruent,0.821553945541382,1
45,unspaced,incongruent,0.73302149772644,1
46,spaced,congruent,0.520941019058228,1
47,unspaced,congruent,1.10530686378479,1
48,unspaced,neutral,0.688785076141357,1
49,spaced,incongruent,3.46950197219849,1
50,spaced,congruent,1.9710066318512,1
51,unspaced,incongruent,2.85540461540222,1
52,unspaced,neutral,2.43856310844421,1
53,spaced,congruent,1.28921175003052,1
54,spaced,neutral,0.717208623886108,1
55,spaced,incongruent,6.48640275001526,1
56,unspaced,neutral,0.576738834381104,1
57,unspaced,congruent,0.597383975982666,1
58,unspaced,congruent,0.432319164276123,1
59,spaced,neutral,0.762224912643433,1
60,unspaced,incongruent,2.75128030776978,1
1,spaced,incongruent,1.27992010116577,1
2,spaced,congruent,0.639854669570923,1
3,spaced,incongruent,0.794377326965332,1
4,unspaced,incongruent,1.23455309867859,1
5,unspaced,incongruent,2.25380301475525,1
6,spaced,neutral,0.665054798126221,0
7,spaced,neutral,1.28765511512756,1
8,spaced,congruent,0.505686521530151,1
9,unspaced,congruent,0.571286916732788,1
10,unspaced,neutral,0.649758338928223,1
11,unspaced,neutral,0.873611211776733,1
12,unspaced,congruent,0.801745653152466,1
13,spaced,congruent,0.410772562026978,1
14,unspaced,incongruent,1.86702418327332,1
15,spaced,incongruent,2.03045129776001,1
16,unspaced,congruent,1.0445716381073,1
17,spaced,incongruent,2.76228785514832,1
18,unspaced,congruent,2.24599313735962,1
19,unspaced,incongruent,0.917319059371948,1
20,spaced,congruent,0.574859380722046,1
21,spaced,neutral,0.784167528152466,1
22,spaced,neutral,0.654735326766968,1
23,unspaced,neutral,0.79987645149231,1
24,unspaced,neutral,0.738677024841309,1
25,unspaced,neutral,0.72297739982605,1
26,spaced,incongruent,0.982089042663574,1
27,unspaced,neutral,0.80010986328125,1
28,spaced,congruent,0.763527393341064,1
29,unspaced,incongruent,0.816005229949951,1
30,spaced,incongruent,1.17718982696533,1
31,unspaced,congruent,0.543248414993286,1
32,spaced,congruent,0.649707317352295,1
33,unspaced,congruent,1.58048152923584,1
34,unspaced,incongruent,1.52406764030457,1
35,spaced,neutral,0.864781379699707,0
36,spaced,neutral,0.897237539291382,1
37,unspaced,congruent,0.87881326675415,1
38,spaced,congruent,0.754961013793945,1
39,unspaced,incongruent,3.73937058448792,1
40,spaced,congruent,2.16947841644287,0
41,spaced,incongruent,1.47755718231201,1
42,spaced,incongruent,2.13225054740906,1
43,spaced,neutral,0.654073476791382,1
44,unspaced,incongruent,5.77285528182983,1
45,spaced,neutral,0.805339574813843,1
46,unspaced,neutral,0.783042192459106,1
47,unspaced,neutral,0.783340215682983,1
48,unspaced,congruent,0.734550714492798,1
49,unspaced,neutral,0.800950765609741,1
50,unspaced,congruent,6.2188982963562,1
51,spaced,incongruent,0.90730357170105,1
52,unspaced,incongruent,2.58523964881897,1
53,spaced,congruent,0.888558626174927,1
54,unspaced,incongruent,1.84748554229736,1
55,spaced,congruent,1.14313292503357,1
56,unspaced,congruent,0.713916540145874,1
57,spaced,incongruent,0.987694501876831,1
58,spaced,neutral,0.816065311431885,0
59,unspaced,neutral,1.19077157974243,1
60,spaced,neutral,1.14175057411194,1
1,spaced,incongruent,1.02561569213867,1
2,unspaced,neutral,0.786223411560059,1
3,unspaced,incongruent,0.793845653533936,1
4,spaced,incongruent,0.432506084442139,1
5,unspaced,incongruent,0.511203527450562,0
6,unspaced,congruent,0.785046100616455,1
7,unspaced,congruent,0.476814746856689,1
8,spaced,neutral,0.715655088424683,1
9,unspaced,neutral,0.589868545532227,1
10,spaced,congruent,0.682867288589478,1
11,spaced,neutral,1.12615251541138,1
12,spaced,congruent,1.36034345626831,1
13,spaced,neutral,0.833542823791504,1
14,spaced,congruent,1.36414980888367,1
15,unspaced,neutral,0.91990327835083,1
16,spaced,congruent,0.943010091781616,1
17,unspaced,incongruent,2.24724054336548,1
18,unspaced,neutral,0.653112411499023,1
19,spaced,incongruent,2.69315385818481,0
20,unspaced,congruent,2.88488054275513,1
21,unspaced,congruent,0.867011785507202,1
22,spaced,neutral,0.874988317489624,1
23,spaced,incongruent,1.19560313224792,1
24,unspaced,incongruent,1.81638646125793,1
25,spaced,neutral,1.22051000595093,1
26,unspaced,incongruent,2.06588578224182,1
27,spaced,congruent,1.04640054702759,1
28,unspaced,incongruent,3.27478671073914,1
29,spaced,incongruent,3.44780921936035,1
30,unspaced,congruent,1.82948446273804,1
31,spaced,congruent,2.7849006652832,1
32,spaced,incongruent,1.30734539031982,1
33,spaced,neutral,0.821723937988281,1
34,unspaced,neutral,1.64722299575806,1
35,unspaced,congruent,0.805034637451172,1
36,unspaced,neutral,1.91055083274841,1
37,spaced,congruent,0.935301065444946,0
38,spaced,congruent,1.92898678779602,0
39,unspaced,incongruent,1.0484676361084,1
40,spaced,incongruent,6.75614023208618,1
41,unspaced,neutral,0.664340019226074,1
42,unspaced,neutral,0.984178304672241,0
43,unspaced,incongruent,1.24824285507202,1
44,spaced,neutral,0.828231334686279,1
45,spaced,neutral,0.989267826080322,1
46,spaced,incongruent,0.563461542129517,0
47,unspaced,congruent,0.925843000411987,1
48,unspaced,congruent,1.33217597007751,1
49,spaced,incongruent,0.897602796554565,0
50,unspaced,incongruent,1.24111437797546,0
51,unspaced,neutral,1.59924507141113,1
52,unspaced,incongruent,1.67988657951355,1
53,unspaced,neutral,0.810546875,1
54,spaced,congruent,0.677269220352173,1
55,spaced,neutral,0.531095027923584,1
56,spaced,congruent,0.670721530914307,1
57,unspaced,congruent,0.872870445251465,1
58,spaced,incongruent,1.14314436912537,1
59,unspaced,congruent,1.22198271751404,1
60,spaced,neutral,0.88563084602356,1
